ingredient,count,used %,effects,main effect
cocos-nucifera-stereate,1,0.0,[''],
apium-graveolens-root-extract,1,0.0,[''],
solidago-canadenis-extract,1,0.0,[''],
colloidal-platinum-nano,1,0.0,[''],
polyglyceryl-6-ximenia-americana-seedate,1,0.0,"['emollient', 'emulsifying']",emollient
procyanidin-b-2,1,0.0,[''],
albizia-julibrissin-seed-bark-extract,1,0.0,[''],
acid-blue-3,1,0.0,[''],
tripterygium-wilfordii-callus-extract,1,0.0,[''],
germanium,1,0.0,[''],
potentillae-anserinae-herba-extract,1,0.0,[''],
sea-urchin-extract,1,0.0,[''],
hydrolyzed-gadidae-protein,1,0.0,[''],
cedarwood-amber-fragrance,1,0.0,[''],
iron-ferment,1,0.0,[''],
rubber-latex,1,0.0,[''],
toluenesulfonamide-formaldehyde-resin,1,0.0,[''],
peg-2-distearate,1,0.0,[''],
2-6-dimethyl-3-5-diethoxycarbonyl-1-4-dihydropyridine,1,0.0,[''],
c9-11-isoparaffin,1,0.0,"['solvent', 'viscosity controlling']",solvent
hydrogenated-sunflower-seed-oil-esters,1,0.0,[''],
pentaerythritol-tetra-isostearate,1,0.0,[''],
indomul-bead-leaf-extract,1,0.0,[''],
olive-oil-based-emulsifier,1,0.0,[''],
magnolia-blossom-oil,1,0.0,[''],
sinapis-alba-seed-powder,1,0.0,[''],
citrine-gemstone-powder,1,0.0,[''],
sea-kelp-ferment-filtrate,1,0.0,[''],
aloe-flower-extract,1,0.0,[''],
basil-flower-extract,1,0.0,[''],
marionberry-isolate,1,0.0,[''],
rose-quartz-crystal,1,0.0,[''],
sea-spring-water,1,0.0,[''],
ecocert-aproved-pigments-oxides,1,0.0,[''],
ecocert-approved-oxides,1,0.0,[''],
betula-cordifolia-extract,1,0.0,[''],
aha-liposomes,1,0.0,[''],
proprietary-blend-of-oil,1,0.0,[''],
rose-absolute-oil,1,0.0,[''],
guar-gum-extract,1,0.0,[''],
rosemary-flower-extract,1,0.0,[''],
melaleuca-cajuputi-oil,1,0.0,[''],
warburgia-ugandensis-essential-oil,1,0.0,[''],
wildflower-essences,1,0.0,[''],
earthworm-vermicast-extract,1,0.0,[''],
cayenne-extract,1,0.0,[''],
solanum-tuberosum-pulp-water,1,0.0,['moisturizer/humectant'],moisturizer/humectant
herbal-tea,1,0.0,[''],
rosa-rugosa-bud-powder,1,0.0,"['abrasive/scrub', 'moisturizer/humectant']",abrasive/scrub
hylocereus-coastaricensis-fruit-extract,1,0.0,[''],
acai-fruit,1,0.0,[''],
coconut-fruit-oil,1,0.0,[''],
aqua-with-infusion-of-cannabis-sativa-seed-extract,1,0.0,[''],
hp-starch,1,0.0,[''],
marshmallow-infused-water,1,0.0,[''],
plantain-skins-ashes,1,0.0,[''],
dried-lavender-flower-buds,1,0.0,[''],
tiare-flower,1,0.0,[''],
banksia-serrata-seed-oil,1,0.0,"['antioxidant', 'moisturizer/humectant']",antioxidant
na-sodium-carboxymethyl-dextran,1,0.0,[''],
mixed-tocopherols-concentrate,1,0.0,[''],
sea-fennel-wax,1,0.0,[''],
gentianella-alborosea-leaf-extract,1,0.0,[''],
copaifera-coriacea-resin-oil,1,0.0,[''],
oligopeptide-11,1,0.0,['antimicrobial/antibacterial'],antimicrobial/antibacterial
oligopeptide-13,1,0.0,[''],
cocos-nucifera-shell-extract,1,0.0,[''],
leaf-extract-aloe-barbadensis,1,0.0,[''],
calendula-arvensis,1,0.0,[''],
plantago-major-root,1,0.0,[''],
pinus-pinaster-leaf-twig-oil,1,0.0,['antimicrobial/antibacterial'],antimicrobial/antibacterial
sisymbrium-officinale-extract,1,0.0,[''],
salix-daphnoides-bud-leaf-stem-extract,1,0.0,[''],
matthiola-bicornis-seed-oil,1,0.0,[''],
lespedeza-capitata-extract,1,0.0,[''],
lactobacillus-scutellaria-baicalensis-root-camellia-sinensis-leaf-artemisia-princeps-leaf-houttuynia-cordata-leaf-citrus-junos-fruit-extract-ferment-filtrate,1,0.0,"['antimicrobial/antibacterial', 'antioxidant']",antimicrobial/antibacterial
suaeda-maritima-flower-leaf-stem-extract,1,0.0,[''],
sodium-mangoamphoacetate,1,0.0,['surfactant/cleansing'],surfactant/cleansing
lycium-chinense-stem-extract,1,0.0,[''],
alpinia-katsumadai-fruit-extract,1,0.0,[''],
ryoko-ekisu,1,0.0,[''],
vegetable-emulsifier,1,0.0,[''],
qusomes,1,0.0,[''],
polysilicon-1,1,0.0,[''],
hydroxyphenyl-propionamide,1,0.0,"['antioxidant', 'skin brightening']",antioxidant
boswellia-rivae-oil,1,0.0,[''],
phospholipid-liposome-gel,1,0.0,[''],
ocimum-basilicum-leaf-powder,1,0.0,[''],
disodium-pyrroloquinolinedione-tricarboxylate,1,0.0,['antioxidant'],antioxidant
citrus-terpenes,1,0.0,[''],
ceramide-plumping-technology,1,0.0,[''],
encapsulated-sunscreens,1,0.0,[''],
lithium-stearate,1,0.0,['viscosity controlling'],viscosity controlling
acetyl-farnesylcysteine,1,0.0,[''],
sucrose-polybehenate,1,0.0,"['emollient', 'emulsifying', 'surfactant/cleansing']",emollient
c12-15-pareth-11,1,0.0,[''],
allium-cepa-skin-extract,1,0.0,['moisturizer/humectant'],moisturizer/humectant
rh-polypeptide-58,1,0.0,[''],
fish-glycerides,1,0.0,[''],
silicone-dimethyl-silylate,1,0.0,[''],
pediococcus-panax-ginseng-adventitious-root-extract-ferment-extract,1,0.0,['moisturizer/humectant'],moisturizer/humectant
laureth-holdinyl-urea,1,0.0,[''],
trimethyl-ammonium-chloride,1,0.0,[''],
bis-lauroyl-glutamate,1,0.0,[''],
phytosteryl-isostearyl-cetyl-behenyl-dimer-dilinoleate,1,0.0,[''],
polyurethane-7,1,0.0,[''],
ximenia-americana-bark-extract,1,0.0,[''],
yellow-squash,1,0.0,[''],
majoram-extract,1,0.0,[''],
wheat-juice,1,0.0,[''],
crataegus-monogyna-berry-juice,1,0.0,[''],
echinacea-root-extract,1,0.0,[''],
ribes-rubrum-juice,1,0.0,[''],
passion-fruit,1,0.0,[''],
guava-aromatic-essence,1,0.0,[''],
five-flavor-berry-fruit-powder,1,0.0,[''],
rhubarb-juice,1,0.0,[''],
pine-needle-extract,1,0.0,[''],
wild-plum-juice,1,0.0,[''],
cassava-root,1,0.0,[''],
hydrolyzed-pepper-fruit-extract,1,0.0,[''],
simmondsia-chinensis-oil-esters,1,0.0,[''],
hydroxylbenzene-methyl-ester,1,0.0,[''],
hybiscus-seed-extract,1,0.0,[''],
disucciante,1,0.0,[''],
tripeptide-9,1,0.0,[''],
natural-preservatives,1,0.0,[''],
ci-15500,1,0.0,[''],
ci-42052,1,0.0,[''],
lauryl-diethyleneaminoglycine,1,0.0,[''],
rosa-cinnamomea-oil,1,0.0,[''],
regenerating-complex,1,0.0,[''],
microzest-50,1,0.0,[''],
multisal-neolipids,1,0.0,[''],
sugar-condensate,1,0.0,[''],
ferric-oxide-yellow,1,0.0,[''],
resorcinol-monoacetate,1,0.0,[''],
cyclomethicone-4,1,0.0,[''],
cyclomethicone-6,1,0.0,[''],
phenova,1,0.0,[''],
zingiber-zerumbet-juice,1,0.0,[''],
sea-clay-extract,1,0.0,[''],
4-methyl-3-decen-5-ol,1,0.0,['perfuming'],perfuming
molecules-of-direct-pigments,1,0.0,[''],
hydrolyzed-silica,1,0.0,[''],
dolichos-biflorus-leaf-cell-culture-extract,1,0.0,[''],
nelumbo-nucifera-phytoplacenta-culture-extract,1,0.0,"['antimicrobial/antibacterial', 'antioxidant', 'moisturizer/humectant']",antimicrobial/antibacterial
ci-20470,1,0.0,['colorant'],colorant
rosa-chinensis-flower-extract,1,0.0,[''],
citrus-microcarpa-extract,1,0.0,[''],
ci-75815,1,0.0,[''],
lactobacillus-rhamnosus-lysate,1,0.0,[''],
sodium-cocoyl-hydrolyzed-oat-protein,1,0.0,[''],
sahel-scenedesmus-extract,1,0.0,[''],
fraxinus-chinensis-bark-extract,1,0.0,[''],
carum-carvi-leaf-oil,1,0.0,[''],
commiphora-wildii-oil,1,0.0,['perfuming'],perfuming
musa-sapientum-flower-water,1,0.0,[''],
rosmarinus-officinalis-l-co2-extracted,1,0.0,[''],
pelargonium-roseum-x-asperum-oil,1,0.0,[''],
sodium-lactobionate,1,0.0,[''],
sodium-glycyrrhetinate,1,0.0,[''],
sorbeth-20-beeswax,1,0.0,"['emulsifying', 'surfactant/cleansing']",emulsifying
soluble-fish-collagen,1,0.0,[''],
morpholinomethyl-silsesquioxane,1,0.0,[''],
hibiscus-sinensis-flower-extract,1,0.0,[''],
glacial-glycoprotein-extract,1,0.0,[''],
emulgin-b1,1,0.0,[''],
ci-1720,1,0.0,[''],
cellulose-globules,1,0.0,[''],
mixture-of,1,0.0,[''],
sodium-pp,1,0.0,[''],
sodium-cocoyl,1,0.0,[''],
cocamidopropyl-dimethylamine-lactate,1,0.0,[''],
scylene-alcohol,1,0.0,[''],
piper-methysticum-leaf-extract,1,0.0,[''],
piper-methysticum-stem-extract,1,0.0,[''],
polyglyceryl-acid-51,1,0.0,[''],
polyquaternium-62,1,0.0,[''],
root-butyl-ether,1,0.0,[''],
root-butterfly-extract,1,0.0,[''],
schizosaccharides-polysaccharide,1,0.0,[''],
syringa-polysaccharide,1,0.0,[''],
augon-root-extract,1,0.0,[''],
hydroxy-complex,1,0.0,[''],
potassium-etidronate,1,0.0,[''],
1-2-polydecene,1,0.0,[''],
citrus-aurantium-dulcis-seed-extract,1,0.0,[''],
hydroxyethyl-acrylate-sodium,1,0.0,[''],
immortelle-infused-olive-oil,1,0.0,[''],
tara-hyaluronic-acid,1,0.0,[''],
polymethylsilsesquioxane-benzimidazole-diamond-copolymer,1,0.0,[''],
hydrolyzed-olive-fruit-extract,1,0.0,['antioxidant'],antioxidant
cetyl-glyceryl-ether,1,0.0,[''],
polyglyceryl-3-betainate-acetate,1,0.0,[''],
lactobacillus-whey-ferment,1,0.0,[''],
lactobacillus-saccharomyces-milk-ferment-filtrate,1,0.0,[''],
clay-extract,1,0.0,[''],
fragrance-component,1,0.0,[''],
geranium-maculatum-flower-extract,1,0.0,[''],
essential-oil-of-vanilla-oleoresin,1,0.0,[''],
eo-aromatherapy-blendt-melange-aromatherapie,1,0.0,[''],
eo-herbal-blend-melange-de-plantes-biologiques-eo,1,0.0,[''],
cocos-nucifera-flavor-extract,1,0.0,[''],
polymethyl-acrylate,1,0.0,[''],
1-4-butanediol,1,0.0,['solvent'],solvent
peg-6-isolauryl-thioether,1,0.0,[''],
hydrogenated-chloride,1,0.0,[''],
arginine-ethyl-ester,1,0.0,[''],
vitamin-c-from-rosa-mosqueta-hip-oil,1,0.0,[''],
zingiber-officinale-leaf-cell-extract,1,0.0,['antioxidant'],antioxidant
tocopherol-from-rosa-canina,1,0.0,[''],
commiphora-guidotti,1,0.0,[''],
vitis-rotundifolia-seed-extract,1,0.0,['antioxidant'],antioxidant
propionaldehyde,1,0.0,['perfuming'],perfuming
vegeclairine,1,0.0,[''],
vinyl-dimethyl-trimethylsiloxy-silicate-stearyl-dimethicone-crosspolymer,1,0.0,[''],
unshumican-fruit-water,1,0.0,[''],
unshumican-fruit-extract,1,0.0,[''],
centaurea-nigra-extract,1,0.0,['emollient'],emollient
hyaluronidase,1,0.0,[''],
pigment-green-7,1,0.0,[''],
citrus-dulcis-peel-oil,1,0.0,[''],
silicic-acid,1,0.0,[''],
natural-raspberry-flavour,1,0.0,[''],
sorbitan-fatty-acid-ester,1,0.0,[''],
sophora-japonica-extract,1,0.0,[''],
polysaccharide,1,0.0,[''],
hydantion,1,0.0,[''],
rosa-moschata-fruit-oil,1,0.0,[''],
peucedanum-graveolens-herb-extract,1,0.0,[''],
thceryzi-ggaaate,1,0.0,[''],
sophora-japonica-leaf-extract,1,0.0,[''],
sesamum-indacum-extract,1,0.0,[''],
ficus-bengalensis-extract,1,0.0,[''],
ppg-2-ceteareth-9,1,0.0,[''],
dextran-hydroxypropyltrimonium-chloride,1,0.0,[''],
zinnia-flower-extract,1,0.0,[''],
isohexyl-caprate,1,0.0,[''],
spermaceti,1,0.0,[''],
ceratonia-siliqua-gachum-leaf,1,0.0,[''],
equisetum-arvense-juice,1,0.0,[''],
citrus-grandis-flower-leaf-stem-natural-extract,1,0.0,[''],
methyl-undecylenoyl-dipeptide-16,1,0.0,[''],
rubus-fruticosus-fruit-extract-powder,1,0.0,[''],
bulnesia-sarmienti,1,0.0,[''],
phenylacetic-acid,1,0.0,['perfuming'],perfuming
astragalus-membranaceus-milk-extract,1,0.0,[''],
vitis-vinifera-seed-extract-powder,1,0.0,[''],
coconutum-nucifera-butter,1,0.0,[''],
carmellomethylulose-extract,1,0.0,[''],
hydroxyl-extract,1,0.0,[''],
cetylpyimi-fiji-10-1-dimethicone-sorbitan-sesquioleate,1,0.0,[''],
tiger-rose-extract,1,0.0,[''],
lactobacillus-bellet-extract-fermentation-filtrate,1,0.0,[''],
lactobacillus-wolfberry-extract-fermentation-filtrate,1,0.0,[''],
lactobacillus-licorice-root-extract-perilla-jujube-wood-fruit-extract-wheat-germ-extract-fermentation-filtrate,1,0.0,[''],
sub-mushroom-mycelium,1,0.0,[''],
ginseng-fruit-extract-fermentation,1,0.0,[''],
rose-quartz-crystals,1,0.0,[''],
butylene-carbonate,1,0.0,[''],
burdock-infused-apricot-kernel-oil,1,0.0,[''],
hydrolysed-hyaluronic-complex,1,0.0,[''],
trypsin,1,0.0,[''],
feel-iceland-marine-collagen,1,0.0,[''],
virginia-foliage-extract,1,0.0,[''],
pascenium-leaf-extract,1,0.0,[''],
virginia-algae-extract,1,0.0,[''],
bee-tuline,1,0.0,[''],
persea-gratissima-fruit-powder,1,0.0,['abrasive/scrub'],abrasive/scrub
hydrosol-boswellia-carterii-citrus-grandis,1,0.0,[''],
caprylic-capric-triglyceride-powder,1,0.0,[''],
cannabis-sativa-powder,1,0.0,[''],
pistacia-lentiscus-leaf-extract,1,0.0,['perfuming'],perfuming
methyl-methyoxydibenzoylmethane,1,0.0,[''],
eurycoma-longifolia-root-extract,1,0.0,[''],
gigartina-stellata-kappaphycus-alvarezii-extract,1,0.0,[''],
bis-glyceryl-lauryl-glyceryl-lauryl-dimethicone,1,0.0,['surfactant/cleansing'],surfactant/cleansing
decamethyltetrasiloxane,1,0.0,[''],
hydrogenated-cranberry-seed-oil,1,0.0,[''],
essential-mineral-complex,1,0.0,[''],
lupine-amino-acids,1,0.0,[''],
allantoin-liposome,1,0.0,[''],
castor-seed,1,0.0,[''],
heartleaf-houttuynia-herb,1,0.0,[''],
artemisia-capillaris-dried-herb,1,0.0,[''],
c3-blend,1,0.0,[''],
phenoxy-peg-4-laurate-palmitate,1,0.0,[''],
dicaprylate-carbonate,1,0.0,[''],
antiinflamator-nutritiv-antibacterian-analgezic,1,0.0,[''],
euterpe-oleracea-seed-powder,1,0.0,['abrasive/scrub'],abrasive/scrub
disteareth-2-lauroyl-glutamate,1,0.0,"['emollient', 'surfactant/cleansing']",emollient
hydrolyzed-tara-gum,1,0.0,[''],
myreth-2,1,0.0,['emulsifying'],emulsifying
citrus-peel-pectin,1,0.0,[''],
cannabis-sativa-hydrosol,1,0.0,[''],
german-chamomile-hydrosol,1,0.0,[''],
rosemary-hydrosol,1,0.0,[''],
proprietary-blends-of,1,0.0,[''],
chamomille-recutita-powder-extract,1,0.0,[''],
iris-sibirica-root-extract,1,0.0,['moisturizer/humectant'],moisturizer/humectant
rosa-alba-extract,1,0.0,[''],
hdi-trimethylol-hexyl-lactone-cross-linked-polymer,1,0.0,[''],
octyl-glycol,1,0.0,[''],
octyldodecanol-stearoyloxy-stearate,1,0.0,[''],
pseudozyma-epicola-safflower-seed-oil-ferment-extract-filtrate,1,0.0,['moisturizer/humectant'],moisturizer/humectant
phyllanthus-acidus-fruit-extract,1,0.0,[''],
cryptomeria-japonica-branch-leaf-extract,1,0.0,['moisturizer/humectant'],moisturizer/humectant
kelp-sulfated-oligosaccharides,1,0.0,[''],
honey-flavor,1,0.0,[''],
adansonia-digitata-seed-oil-polyglyceryl-6-esters,1,0.0,[''],
3-cyclohexane,1,0.0,[''],
caprylate-caprate,1,0.0,[''],
soyamide-dea,1,0.0,['viscosity controlling'],viscosity controlling
caprilate-caprate,1,0.0,[''],
moisturising-factor,1,0.0,[''],
peg-ppg-15-15-acetate-dimethicone,1,0.0,[''],
peg-ppg-15-15-acetate,1,0.0,['solvent'],solvent
hexapeptide-37,1,0.0,[''],
heptapeptide-32,1,0.0,[''],
cetyl-fatty-esters,1,0.0,[''],
capparis-mitchellii-fruit-extract,1,0.0,[''],
commelina-cyanea-extract,1,0.0,[''],
natural-emulsifiers,1,0.0,[''],
prosopis-pallida-seed-extract,1,0.0,[''],
pouteria-lucuma-seed-extract,1,0.0,[''],
pascopyron-smithii-extract,1,0.0,[''],
c10-16-pareth-1,1,0.0,"['surfactant/cleansing', 'emollient']",surfactant/cleansing
papaver-rhoeas-seed-extract,1,0.0,[''],
pinus-palustris-wood-tar,1,0.0,[''],
lactobacillus-rice-bran-saccharomyces-camellia-sinensis-leaf-extract-ferment,1,0.0,"['antioxidant', 'skin brightening']",antioxidant
acacia-victoriae-seed-extract,1,0.0,[''],
acacia-catechu-seed-powder,1,0.0,[''],
prostanthera-incisa-leaf-extract,1,0.0,['moisturizer/humectant'],moisturizer/humectant
maclura-cochinchinensis-leaf-extract,1,0.0,[''],
methyl-polysorbate-20,1,0.0,[''],
naproxen,1,0.0,[''],
sodium-cocoyl-alkyl-esters,1,0.0,[''],
prunus-domestica-fruit-oil,1,0.0,[''],
mipa-lauryl-sulfate,1,0.0,['surfactant/cleansing'],surfactant/cleansing
magnesium-benzoate,1,0.0,['preservative'],preservative
vaccinium-arboreum-extract,1,0.0,[''],
hydrolyzed-yogurt-protein-probiotic,1,0.0,[''],
planktonic-exopolysaccharide-5,1,0.0,[''],
himalayan-pink-salt,1,0.0,[''],
milk-peptide-complex,1,0.0,[''],
aromatic-oil,1,0.0,[''],
glycereth-36,1,0.0,[''],
peg-ppg-19-10-dimethicone,1,0.0,[''],
al,1,0.0,[''],
caprylyl-butyrate,1,0.0,['perfuming'],perfuming
petasites-japonicus-powder,1,0.0,['emollient'],emollient
ammonium-carbonate,1,0.0,['buffering'],buffering
saccharomyces-angelica-dahurica-root-ferment-extract,1,0.0,[''],
unbleached-natural-kraft-paper-with-water-activated-adhesive-based-on-dextrin,1,0.0,[''],
cactus-collagen,1,0.0,[''],
mycelium-ferment-filtrate,1,0.0,[''],
moss,1,0.0,[''],
fern,1,0.0,[''],
cannabis-sativa-seed,1,0.0,[''],
wild-rose,1,0.0,[''],
seabuckthorn,1,0.0,[''],
sirtuin-cellular-activators-peptides,1,0.0,[''],
osilift,1,0.0,[''],
glyceryl-tribehenate,1,0.0,[''],
rubus-fruticosus-fruit-water,1,0.0,['perfuming'],perfuming
brahmi-serum,1,0.0,[''],
triticum-vulgare-seed-oil,1,0.0,[''],
clinacanthus-nutans-leaf-extract,1,0.0,['antioxidant'],antioxidant
thunbergia-laurifolia-leaf-extract,1,0.0,[''],
2-methyl-2h-isothiazol-3-one,1,0.0,[''],
angelica-koreana-root-extract,1,0.0,[''],
nicotinoyl-dipeptide-26,1,0.0,[''],
trifarotene,1,0.0,[''],
cetete,1,0.0,[''],
simulgel-600-pha,1,0.0,[''],
ivermectin,1,0.0,[''],
fluocinolone-acetonide,1,0.0,[''],
cauterets-spring-water,1,0.0,[''],
cocoa-absolute,1,0.0,[''],
blood-orange,1,0.0,[''],
calendula-infused-olive-oil,1,0.0,[''],
essential-oils-of-rose-jasmine-neroli-geranium-frankincense-carrot-seed,1,0.0,[''],
essential-oils-of-rose-german-chamomille-geranium-helichrysum-frankincense-and-carrot-seed,1,0.0,[''],
polyacrylate-crosspolymer-14,1,0.0,['viscosity controlling'],viscosity controlling
marshmallow-tamarind-infusion-fermentation,1,0.0,[''],
paper-mulberry-infusion,1,0.0,[''],
sodium-ascorbyl-palmitate,1,0.0,[''],
concord-grape-distillate,1,0.0,[''],
marshmallow-root-infusion,1,0.0,[''],
blue-lotus-infusion,1,0.0,[''],
apple-polyphenols,1,0.0,[''],
lactobacillus-persea-gratissima-ferment-extract,1,0.0,[''],
phospholipon,1,0.0,[''],
soapnuts,1,0.0,[''],
wild-cherry-bark-hydrosol,1,0.0,[''],
yucca-root,1,0.0,[''],
thyme-leaf-extract,1,0.0,[''],
indene,1,0.0,['perfuming'],perfuming
poloxamer-183,1,0.0,"['emulsifying', 'surfactant/cleansing']",emulsifying
isopropyl-isononanoate,1,0.0,[''],
sodium-dea-dodedecylbenzene-sulfonate,1,0.0,[''],
capryl-glycerine,1,0.0,[''],
eupatoria-straw-sprout-extract,1,0.0,[''],
ivy-gode-fruit-extract,1,0.0,[''],
lobular-leaf-extract,1,0.0,[''],
human-umbilical-cord-blood-cell-culture-solution,1,0.0,[''],
white-pattern-thistle-seed-extract,1,0.0,[''],
eyes-horse-riding-extract,1,0.0,[''],
ceiba-pentandra-fiber-powder,1,0.0,[''],
medicated-soap,1,0.0,[''],
ci-73385,1,0.0,[''],
pemulen,1,0.0,['emulsifying'],emulsifying
gel-neutro,1,0.0,[''],
cyclosiloxane-blend,1,0.0,[''],
phosphonic-acid,1,0.0,[''],
sodium-perborate,1,0.0,[''],
acetyl-mannosylerythritol-lipid,1,0.0,[''],
orotic-acid,1,0.0,[''],
artemia-salina-extract,1,0.0,[''],
hydroxyethyl-acetate,1,0.0,[''],
diethylheical-acid,1,0.0,[''],
tetrahydrocurcumin-diacetate,1,0.0,"['antioxidant', 'skin brightening']",antioxidant
sodium-thioglycolate,1,0.0,['antioxidant'],antioxidant
mineral-spirits,1,0.0,['solvent'],solvent
polyglyceryl-10-trioleate,1,0.0,['surfactant/cleansing'],surfactant/cleansing
diprofluylene-glycol,1,0.0,[''],
scoalan,1,0.0,[''],
astronomical-root-extract,1,0.0,[''],
dimethicone-peg-ppg-20-23-benzoate,1,0.0,[''],
chenopodium-quinoa-flower-leaf-extract,1,0.0,[''],
acrylates-hydroxyester-acrylates-copolymer,1,0.0,[''],
pyrifera-extract,1,0.0,[''],
limonia-acidissima-bark-extract,1,0.0,[''],
gold-particles,1,0.0,[''],
octatrienoic-acid,1,0.0,['antioxidant'],antioxidant
micreobalance,1,0.0,[''],
colloidal-hydrated,1,0.0,[''],
basic-blue-124,1,0.0,[''],
biotinyl-ghk,1,0.0,[''],
sodium-pca-aqueous-solution,1,0.0,[''],
peg,1,0.0,[''],
refined-almond-oil,1,0.0,[''],
fision-keraveg18,1,0.0,[''],
ganoderma-lucidum-powder,1,0.0,[''],
yucca-saponis-extract,1,0.0,[''],
cannabaceae,1,0.0,[''],
cucumis-leuconostoc-sativus,1,0.0,[''],
polyalkylene-oxide,1,0.0,[''],
micellized-vitamin-a,1,0.0,[''],
micellized-vitamin-e,1,0.0,[''],
cocos-nucifera-fruit-oil-extract,1,0.0,[''],
ci-42090-hemp,1,0.0,[''],
sodium-methyl-palmitate-sulfonate,1,0.0,['surfactant/cleansing'],surfactant/cleansing
nicotiana-tabacum-leaf-oil,1,0.0,['perfuming'],perfuming
musa-sapientum-water,1,0.0,[''],
jasminum-sambac-flower-wax,1,0.0,[''],
nonapeptide-3,1,0.0,[''],
myristoyl-octapeptide-2,1,0.0,[''],
myristoyl-octapeptide-31,1,0.0,[''],
milicapsules,1,0.0,[''],
dccb-3031-fluid,1,0.0,[''],
mineral-ou,1,0.0,[''],
black-tomato-extract,1,0.0,[''],
sucrose-octaacetate,1,0.0,[''],
blessed-thistle-extract,1,0.0,[''],
full-spectrum-hemp-extract,1,0.0,[''],
dark-phyto-matter,1,0.0,[''],
palmitoyl-tripeptide-5-7-1,1,0.0,[''],
dark-phyto-matter-infusion,1,0.0,[''],
bis-lauryl-cocamidopropylamine-hdi-peg-100-copolymer,1,0.0,['viscosity controlling'],viscosity controlling
daily-essence,1,0.0,[''],
lucuma-fruit-powder,1,0.0,[''],
sea-buckthorn-juice-powder,1,0.0,[''],
saccharomyces-capsicum-annuum-fruit-ferment-filtrate,1,0.0,[''],
arnica-tincture,1,0.0,[''],
litsea-extract,1,0.0,[''],
ruby-crystals,1,0.0,[''],
rose-attar,1,0.0,[''],
gardenia-attar,1,0.0,[''],
ocimum-fruit-extract,1,0.0,[''],
berberis-vulgaris-fruit-extract,1,0.0,[''],
primrose,1,0.0,[''],
berberis-extract,1,0.0,[''],
yogurt-whey-extract,1,0.0,[''],
camellia-senneth-seed-oil,1,0.0,[''],
candida-bombicola-sucrose-vegetable-acid-ester-ferment,1,0.0,[''],
agonis-fragrans,1,0.0,[''],
syzygium-smithii-extract,1,0.0,[''],
naturally-derived-hydrosols,1,0.0,[''],
pictorial-tree-root-extract,1,0.0,[''],
radix-tree-leaf-extract,1,0.0,[''],
schinus-terebinthifolia-fruit-extract,1,0.0,[''],
schinus-terebinthifolius-fruit-extract,1,0.0,[''],
origanum-compactum-oil,1,0.0,['perfuming'],perfuming
potassium-cocoyl-hydrolyzed-wheat-protein,1,0.0,[''],
peg-8-distearmonium-chloride-pg-dimethicone,1,0.0,[''],
milk-protein-lactis-proteinum-extract,1,0.0,[''],
pansy,1,0.0,[''],
natural-iron-oxides,1,0.0,[''],
octene,1,0.0,['solvent'],solvent
oat-peptide,1,0.0,[''],
seaweed-polysaccharides,1,0.0,[''],
fragaria-vesca-fruit-water,1,0.0,[''],
resin-extract,1,0.0,[''],
acrylates-c10-c30-crosspolymer,1,0.0,[''],
tea-carbomer,1,0.0,['viscosity controlling'],viscosity controlling
quercus-petraea-bark-extract,1,0.0,[''],
ruvex-bmo,1,0.0,[''],
microcare-pehg,1,0.0,[''],
bioran-snail-arbutin,1,0.0,[''],
olivatis,1,0.0,[''],
blended-coconut-wax,1,0.0,[''],
photosensitizing-dye-301,1,0.0,[''],
iodized-garlic-extract,1,0.0,[''],
syzygium-australe-fruit-extract,1,0.0,[''],
cedrus-canadensis-oil,1,0.0,[''],
sucrose-lactate,1,0.0,[''],
distilled-monoglyceride,1,0.0,[''],
cyclohexanone,1,0.0,"['perfuming', 'solvent']",perfuming
peg-6-oleate,1,0.0,[''],
acrylonitile-butadience,1,0.0,[''],
ceramides-lipids,1,0.0,[''],
poolan-kilangu,1,0.0,[''],
sweet-cinnamon,1,0.0,[''],
red-alaea-salt,1,0.0,[''],
myristica-fragrance-powder-allspice,1,0.0,[''],
phytosteryl-biphenyl-octyldodecyl-lauroyl-glutamate,1,0.0,[''],
alpha-olefin-oligomers,1,0.0,[''],
hydrogensulfate-dimethicone,1,0.0,[''],
2-ethylhexanoic-acid,1,0.0,[''],
hydroxypropyl-trimonium,1,0.0,[''],
c16-18-hydroxyalkyl-hydroxydimerdilinoleyl-ether,1,0.0,[''],
lactococcus-hyaluronic-acid-ferment,1,0.0,[''],
decyl-stearate-se,1,0.0,[''],
syringa-oblata-bark-leaf-powder,1,0.0,"['abrasive/scrub', 'moisturizer/humectant']",abrasive/scrub
glyceryl-trichotanate,1,0.0,[''],
poe-sorbitan,1,0.0,[''],
yokinin-extract,1,0.0,[''],
peg31,1,0.0,[''],
gnetum-gnemon-seed-extract,1,0.0,[''],
jamaican-coffee-extract,1,0.0,[''],
dimethicone-peg-8-succinate,1,0.0,[''],
eco-marine-extract,1,0.0,[''],
hamamelidaceae,1,0.0,[''],
lavandula-fruit-oil,1,0.0,[''],
cocoyl-hydrolyzed-silk-proetin,1,0.0,[''],
velvet-bean,1,0.0,[''],
ferrous-gluconate,1,0.0,[''],
leuconostoc-radish,1,0.0,[''],
hydrogenated-polydodecene,1,0.0,"['solvent', 'viscosity controlling']",solvent
polyurethane-24-methyl-methacrylate-crosspolymer,1,0.0,[''],
pholiota-microspora-polysaccharides,1,0.0,['moisturizer/humectant'],moisturizer/humectant
