ingredient,count,used %,effects,main effect
glyceryl-stearate-se,2214,2.88,['emulsifying'],emulsifying
gluconolactone,2192,2.85,"['exfoliant', 'chelating']",exfoliant
beta-glucan,2167,2.81,"['soothing', 'moisturizer/humectant']",soothing
melaleuca-alternifolia-leaf-oil,2149,2.79,"['soothing', 'anti-acne', 'antioxidant', 'antimicrobial/antibacterial', 'perfuming']",soothing
tetrahexyldecyl-ascorbate,2149,2.79,"['antioxidant', 'skin brightening']",antioxidant
portulaca-oleracea-extract,2134,2.77,"['soothing', 'antioxidant']",soothing
coco-caprylate-caprate,2131,2.77,['emollient'],emollient
peg-60-hydrogenated-castor-oil,2131,2.77,"['emulsifying', 'surfactant/cleansing']",emulsifying
citrus-aurantium-dulcis-peel-oil,2119,2.75,['perfuming'],perfuming
hydrolyzed-collagen,2114,2.75,"['emollient', 'moisturizer/humectant']",emollient
ricinus-communis-seed-oil,2112,2.74,"['emollient', 'perfuming']",emollient
sodium-phytate,2098,2.72,['chelating'],chelating
disteardimonium-hectorite,2041,2.65,['viscosity controlling'],viscosity controlling
xylitol,2015,2.62,['moisturizer/humectant'],moisturizer/humectant
hydrogenated-polyisobutene,1988,2.58,"['emollient', 'viscosity controlling']",emollient
polymethylsilsesquioxane,1967,2.55,[''],
sodium-stearoyl-glutamate,1958,2.54,"['emulsifying', 'surfactant/cleansing']",emulsifying
isopropyl-palmitate,1943,2.52,['emollient'],emollient
theobroma-cacao-seed-butter,1932,2.51,['emollient'],emollient
scutellaria-baicalensis-root-extract,1929,2.51,"['soothing', 'antioxidant', 'antimicrobial/antibacterial', 'moisturizer/humectant']",soothing
glycine,1896,2.46,['skin-identical ingredient'],skin-identical ingredient
talc,1894,2.46,['abrasive/scrub'],abrasive/scrub
methylisothiazolinone,1886,2.45,['preservative'],preservative
serine,1879,2.44,['skin-identical ingredient'],skin-identical ingredient
dimethicone-crosspolymer,1866,2.42,['viscosity controlling'],viscosity controlling
glyceryl-stearate-citrate,1860,2.42,"['emollient', 'emulsifying']",emollient
laureth-7,1837,2.39,"['emulsifying', 'surfactant/cleansing']",emulsifying
caprylhydroxamic-acid,1824,2.37,['chelating'],chelating
diethylamino-hydroxybenzoyl-hexyl-benzoate,1787,2.32,['sunscreen'],sunscreen
hydroxycitronellal,1782,2.31,['perfuming'],perfuming
sodium-levulinate,1780,2.31,[''],
guar-hydroxypropyltrimonium-chloride,1777,2.31,['viscosity controlling'],viscosity controlling
petrolatum,1764,2.29,['emollient'],emollient
c13-14-isoparaffin,1740,2.26,"['emollient', 'viscosity controlling', 'solvent']",emollient
isododecane,1740,2.26,"['emollient', 'solvent']",emollient
glyceryl-oleate,1725,2.24,"['emollient', 'emulsifying', 'perfuming']",emollient
citrus-aurantium-bergamia-fruit-oil,1723,2.24,['perfuming'],perfuming
polyacrylamide,1715,2.23,['viscosity controlling'],viscosity controlling
palmitoyl-tetrapeptide-7,1704,2.21,['cell-communicating ingredient'],cell-communicating ingredient
magnesium-sulfate,1702,2.21,['viscosity controlling'],viscosity controlling
saccharide-isomerate,1698,2.21,['moisturizer/humectant'],moisturizer/humectant
leuconostoc-radish-root-ferment-filtrate,1682,2.18,"['antimicrobial/antibacterial', 'preservative']",antimicrobial/antibacterial
cellulose-gum,1677,2.18,['viscosity controlling'],viscosity controlling
phenyl-trimethicone,1676,2.18,['emollient'],emollient
eugenol,1664,2.16,['perfuming'],perfuming
cetyl-ethylhexanoate,1662,2.16,['emollient'],emollient
carthamus-tinctorius-seed-oil,1657,2.15,"['antioxidant', 'emollient']",antioxidant
lauryl-glucoside,1653,2.15,['surfactant/cleansing'],surfactant/cleansing
sorbitan-stearate,1649,2.14,['emulsifying'],emulsifying
tin-oxide,1642,2.13,"['colorant', 'abrasive/scrub', 'viscosity controlling']",colorant
prunus-armeniaca-kernel-oil,1635,2.12,['emollient'],emollient
pyrus-malus-fruit-extract,1634,2.12,['moisturizer/humectant'],moisturizer/humectant
glycereth-26,1634,2.12,"['moisturizer/humectant', 'emollient', 'viscosity controlling']",moisturizer/humectant
phospholipids,1633,2.12,"['skin-identical ingredient', 'emollient']",skin-identical ingredient
ethylhexyl-triazone,1632,2.12,['sunscreen'],sunscreen
isononyl-isononanoate,1630,2.12,['emollient'],emollient
alumina,1628,2.11,"['viscosity controlling', 'abrasive/scrub']",viscosity controlling
panax-ginseng-root-extract,1616,2.1,"['antioxidant', 'emollient']",antioxidant
sclerotium-gum,1609,2.09,['viscosity controlling'],viscosity controlling
biosaccharide-gum-1,1602,2.08,"['soothing', 'moisturizer/humectant']",soothing
ubiquinone,1598,2.08,['antioxidant'],antioxidant
glycol-distearate,1595,2.07,"['emollient', 'emulsifying', 'viscosity controlling']",emollient
myristic-acid,1587,2.06,"['surfactant/cleansing', 'emulsifying', 'perfuming']",surfactant/cleansing
macadamia-ternifolia-seed-oil,1573,2.04,['emollient'],emollient
acrylates-copolymer,1566,2.03,['viscosity controlling'],viscosity controlling
ethylparaben,1565,2.03,['preservative'],preservative
hydrogenated-polydecene,1562,2.03,"['emollient', 'perfuming', 'solvent']",emollient
retinol,1561,2.03,['cell-communicating ingredient'],cell-communicating ingredient
cetrimonium-chloride,1533,1.99,"['antimicrobial/antibacterial', 'emulsifying', 'preservative', 'surfactant/cleansing']",antimicrobial/antibacterial
rosa-canina-fruit-oil,1525,1.98,['emollient'],emollient
rosa-damascena-flower-water,1506,1.96,[''],
jojoba-esters,1498,1.95,"['soothing', 'emollient', 'moisturizer/humectant']",soothing
salix-alba-bark-extract,1488,1.93,['soothing'],soothing
ascorbyl-glucoside,1486,1.93,"['antioxidant', 'skin brightening']",antioxidant
tetrasodium-glutamate-diacetate,1464,1.9,['chelating'],chelating
proline,1449,1.88,['skin-identical ingredient'],skin-identical ingredient
dicaprylyl-ether,1445,1.88,"['emollient', 'solvent']",emollient
pentaerythrityl-tetra-di-t-butyl-hydroxyhydrocinnamate,1432,1.86,"['antioxidant', 'preservative']",antioxidant
acetyl-hexapeptide-8,1430,1.86,"['cell-communicating ingredient', 'moisturizer/humectant']",cell-communicating ingredient
peg-8,1430,1.86,"['moisturizer/humectant', 'solvent']",moisturizer/humectant
avena-sativa-kernel-extract,1428,1.85,"['antioxidant', 'soothing', 'emollient', 'abrasive/scrub']",antioxidant
alanine,1422,1.85,['skin-identical ingredient'],skin-identical ingredient
aloe-barbadensis-leaf-juice-powder,1419,1.84,"['soothing', 'moisturizer/humectant']",soothing
hamamelis-virginiana-extract,1416,1.84,"['soothing', 'antioxidant', 'antimicrobial/antibacterial']",soothing
homosalate,1407,1.83,['sunscreen'],sunscreen
cetyl-peg-ppg-10-1-dimethicone,1405,1.82,"['emulsifying', 'surfactant/cleansing']",emulsifying
sodium-gluconate,1402,1.82,"['chelating', 'moisturizer/humectant']",chelating
peg-7-glyceryl-cocoate,1399,1.82,"['emulsifying', 'surfactant/cleansing']",emulsifying
synthetic-fluorphlogopite,1396,1.81,['viscosity controlling'],viscosity controlling
curcuma-longa-root-extract,1395,1.81,"['antioxidant', 'soothing', 'skin brightening', 'perfuming']",antioxidant
pelargonium-graveolens-flower-oil,1386,1.8,['perfuming'],perfuming
polyisobutene,1386,1.8,['viscosity controlling'],viscosity controlling
rosmarinus-officinalis-leaf-oil,1385,1.8,"['antioxidant', 'antimicrobial/antibacterial']",antioxidant
dmdm-hydantoin,1382,1.79,['preservative'],preservative
polyhydroxystearic-acid,1381,1.79,['emulsifying'],emulsifying
algae-extract,1378,1.79,"['emollient', 'moisturizer/humectant']",emollient
sucrose,1363,1.77,"['moisturizer/humectant', 'soothing']",moisturizer/humectant
menthol,1362,1.77,['soothing'],soothing
cetyl-palmitate,1357,1.76,['emollient'],emollient
cyclomethicone,1356,1.76,"['emollient', 'moisturizer/humectant', 'solvent', 'viscosity controlling']",emollient
limnanthes-alba-seed-oil,1345,1.75,['emollient'],emollient
diazolidinyl-urea,1345,1.75,['preservative'],preservative
caprylyl-methicone,1341,1.74,['emollient'],emollient
polyquaternium-10,1339,1.74,['viscosity controlling'],viscosity controlling
palmitoyl-tripeptide-1,1330,1.73,['cell-communicating ingredient'],cell-communicating ingredient
magnesium-aluminum-silicate,1328,1.72,['viscosity controlling'],viscosity controlling
honey,1327,1.72,"['soothing', 'moisturizer/humectant', 'antimicrobial/antibacterial']",soothing
sodium-dehydroacetate,1326,1.72,['preservative'],preservative
phytosphingosine,1325,1.72,"['skin-identical ingredient', 'cell-communicating ingredient', 'anti-acne', 'antimicrobial/antibacterial']",skin-identical ingredient
polyethylene,1324,1.72,['viscosity controlling'],viscosity controlling
oenothera-biennis-oil,1322,1.72,"['soothing', 'emollient']",soothing
xylitylglucoside,1316,1.71,['moisturizer/humectant'],moisturizer/humectant
ci-15985,1309,1.7,['colorant'],colorant
aluminum-starch-octenylsuccinate,1298,1.69,['viscosity controlling'],viscosity controlling
anhydroxylitol,1292,1.68,['moisturizer/humectant'],moisturizer/humectant
biotin,1284,1.67,[''],
polyquaternium-7,1275,1.66,[''],
ci-17200,1273,1.65,['colorant'],colorant
iodopropynyl-butylcarbamate,1271,1.65,['preservative'],preservative
sorbitan-oleate,1269,1.65,['emulsifying'],emulsifying
behentrimonium-chloride,1267,1.65,['preservative'],preservative
peg-10-dimethicone,1260,1.64,['emulsifying'],emulsifying
methylchloroisothiazolinone,1257,1.63,['preservative'],preservative
citrus-limon-fruit-extract,1252,1.63,[''],
polyglyceryl-10-laurate,1250,1.62,"['surfactant/cleansing', 'emulsifying']",surfactant/cleansing
methyl-methacrylate-crosspolymer,1246,1.62,[''],
sodium-cocoyl-isethionate,1241,1.61,['surfactant/cleansing'],surfactant/cleansing
hamamelis-virginiana-water,1235,1.6,['soothing'],soothing
saccharum-officinarum-extract,1235,1.6,['moisturizer/humectant'],moisturizer/humectant
pullulan,1228,1.59,[''],
threonine,1225,1.59,['skin-identical ingredient'],skin-identical ingredient
copernicia-cerifera-wax,1217,1.58,['emollient'],emollient
sodium-hyaluronate-crosspolymer,1213,1.58,"['skin-identical ingredient', 'antioxidant', 'moisturizer/humectant']",skin-identical ingredient
microcrystalline-wax,1209,1.57,['viscosity controlling'],viscosity controlling
dextrin,1207,1.57,"['viscosity controlling', 'moisturizer/humectant']",viscosity controlling
ethylhexyl-stearate,1200,1.56,['emollient'],emollient
phenethyl-alcohol,1197,1.55,[''],
lauric-acid,1187,1.54,"['anti-acne', 'surfactant/cleansing', 'emulsifying']",anti-acne
citrus-limon-peel-oil,1172,1.52,['perfuming'],perfuming
trisodium-ethylenediamine-disuccinate,1171,1.52,['chelating'],chelating
polyacrylate-crosspolymer-6,1161,1.51,['viscosity controlling'],viscosity controlling
propylene-carbonate,1157,1.5,"['solvent', 'viscosity controlling']",solvent
madecassoside,1154,1.5,"['antioxidant', 'soothing']",antioxidant
polysilicone-11,1149,1.49,[''],
citrus-aurantium-dulcis-fruit-extract,1143,1.48,[''],
isopropyl-alcohol,1143,1.48,"['solvent', 'viscosity controlling', 'perfuming']",solvent
hydrolyzed-wheat-protein,1142,1.48,['moisturizer/humectant'],moisturizer/humectant
aminomethyl-propanol,1142,1.48,['buffering'],buffering
sodium-acetylated-hyaluronate,1138,1.48,['moisturizer/humectant'],moisturizer/humectant
polymethyl-methacrylate,1135,1.47,[''],
rosa-damascena-flower-oil,1131,1.47,"['antioxidant', 'perfuming', 'antimicrobial/antibacterial']",antioxidant
sodium-acrylate-sodium-acryloyldimethyl-taurate-copolymer,1124,1.46,['viscosity controlling'],viscosity controlling
melia-azadirachta-leaf-extract,1122,1.46,[''],
nylon-12,1121,1.46,['viscosity controlling'],viscosity controlling
bentonite,1120,1.45,['viscosity controlling'],viscosity controlling
zingiber-officinale-root-extract,1120,1.45,"['antioxidant', 'soothing']",antioxidant
chondrus-crispus-extract,1113,1.45,"['moisturizer/humectant', 'viscosity controlling']",moisturizer/humectant
aroma,1109,1.44,[''],
anthemis-nobilis-flower-extract,1094,1.42,"['soothing', 'perfuming']",soothing
ceramide-ap,1088,1.41,['skin-identical ingredient'],skin-identical ingredient
polyglyceryl-3-methylglucose-distearate,1086,1.41,['emulsifying'],emulsifying
maris-sal,1085,1.41,[''],
sodium-metabisulfite,1085,1.41,"['antioxidant', 'preservative']",antioxidant
yeast-extract,1084,1.41,['moisturizer/humectant'],moisturizer/humectant
triethylhexanoin,1084,1.41,"['emollient', 'perfuming']",emollient
sodium-cocoyl-glutamate,1062,1.38,['surfactant/cleansing'],surfactant/cleansing
hydrogenated-castor-oil,1054,1.37,"['emollient', 'viscosity controlling', 'emulsifying', 'surfactant/cleansing']",emollient
linoleic-acid,1052,1.37,"['skin-identical ingredient', 'emollient', 'surfactant/cleansing']",skin-identical ingredient
steareth-20,1050,1.36,"['emulsifying', 'surfactant/cleansing']",emulsifying
ceramide-1,1049,1.36,['skin-identical ingredient'],skin-identical ingredient
lactobacillus-ferment,1047,1.36,"['soothing', 'preservative']",soothing
magnesium-ascorbyl-phosphate,1043,1.35,"['skin brightening', 'antioxidant']",skin brightening
ethyl-ascorbic-acid,1041,1.35,"['antioxidant', 'skin brightening']",antioxidant
farnesol,1039,1.35,['perfuming'],perfuming
honey-extract,1039,1.35,['moisturizer/humectant'],moisturizer/humectant
sorbitan-sesquioleate,1029,1.34,['emulsifying'],emulsifying
glyceryl-acrylate-acrylic-acid-copolymer,1029,1.34,"['moisturizer/humectant', 'viscosity controlling']",moisturizer/humectant
sesamum-indicum-seed-oil,1025,1.33,['emollient'],emollient
glutamic-acid,1022,1.33,['moisturizer/humectant'],moisturizer/humectant
zinc-gluconate,1017,1.32,"['anti-acne', 'soothing']",anti-acne
ci-15850,1008,1.31,['colorant'],colorant
